cond;etac;lg;catpri18;COUNT;PERCENT;DURM;MX;MN;SD
1;1;01;0.3.1;1837;25.23698310207446;00:16:45.661000;01:59:59.997000;00:09:59.996000;00:12:32.812000
1;1;01;0.2.1;1388;19.068553372716032;00:30:39.767000;03:00:00;00:09:59.996000;00:23:15.032000
1;1;01;0.1.1;1381;18.97238631680176;03:33:18.121000;12:20:00.001000;00:09:59.996000;02:04:49.143000
1;1;01;8.2.1;614;8.435224618766314;00:57:51.984000;04:20:00.004000;00:09:59.996000;00:42:59.170000
1;1;01;3.1.1;330;4.533589778815771;00:22:05.454000;01:59:59.997000;00:09:59.996000;00:19:09.975000
1;1;01;5.3.1;225;3.091083940101663;00:50:37.332000;03:29:59.997000;00:09:59.996000;00:39:14.409000
1;1;01;3.2.1;205;2.8163209232037367;00:36:46.829000;03:29:59.997000;00:09:59.996000;00:32:13.641000
1;1;01;5.1.1;140;1.9233411182854787;00:19:34.288000;01:50:00.001000;00:09:59.996000;00:16:31.716000
1;1;01;7.2.2;120;1.6485781013875531;00:48:34.998000;02:19:59.998000;00:09:59.996000;00:35:00.609000
1;1;01;3.1.2;102;1.4012913861794205;00:21:10.590000;03:29:59.997000;00:09:59.996000;00:21:37.875000
1;1;01;7.2.9;72;0.989146860832532;00:51:48.335000;05:50:00.004000;00:09:59.996000;00:51:27.996000
1;1;01;5.1.4;70;0.9616705591427394;00:22:00.002000;01:00:00.003000;00:09:59.996000;00:13:15.200000
1;1;01;5.1.5;69;0.9479324082978431;00:32:45.220000;01:59:59.997000;00:09:59.996000;00:28:44.544000
1;1;01;3.2.4;66;0.9067179557631543;00:19:05.457000;01:30:00;00:09:59.996000;00:14:51.354000
1;1;01;8.3.1;60;0.8242890506937767;00:36:09.996000;04:20:00.004000;00:09:59.996000;00:36:57.905000
1;1;01;2.1.2;58;0.7968127490039841;01:20:31.039000;03:00:00;00:20:00.001000;00:44:32.482000
1;1;01;3.8.1;57;0.7830745981590876;00:16:29.470000;01:00:00.003000;00:09:59.996000;00:10:46.332000
1;1;01;5.1.2;40;0.5495260337958511;00:38:44.998000;04:39:59.996000;00:09:59.996000;00:50:29.659000
1;1;01;7.3.4;37;0.5083115812611623;01:09:59.999000;03:29:59.997000;00:09:59.996000;00:45:05.547000
1;1;01;8.1.9;37;0.5083115812611623;01:08:06.487000;03:40:00.002000;00:09:59.996000;00:45:19.699000
1;1;01;9.9.5;36;0.494573430416266;00:33:03.329000;02:39:59.999000;00:09:59.996000;00:27:57.672000
1;1;01;1.1.1;35;0.4808352795713697;01:30:51.425000;06:49:59.998000;00:09:59.996000;01:36:03.036000
1;1;01;7.3.5;35;0.4808352795713697;00:56:17.143000;03:09:59.996000;00:09:59.996000;00:48:01.492000
1;1;01;8.1.2;34;0.46709712872647347;00:50:35.292000;02:39:59.999000;00:09:59.996000;00:33:17.862000
1;1;01;8.1.1;24;0.3297156202775106;00:29:59.997000;01:09:59.999000;00:09:59.996000;00:19:20.214000
1;1;01;3.8.3;19;0.26102486605302927;00:42:37.898000;01:39:59.996000;00:09:59.996000;00:31:35.702000
1;1;01;3.3.2;18;0.247286715208133;00:34:26.671000;01:09:59.999000;00:09:59.996000;00:19:46.194000
1;1;01;3.3.1;17;0.23354856436323673;00:18:49.412000;00:49:59.998000;00:09:59.996000;00:12:41.383000
1;1;01;0.3.9;16;0.21981041351834044;00:35:00.004000;01:59:59.997000;00:09:59.996000;00:34:15.240000
1;1;01;3.4.3;14;0.19233411182854787;01:32:08.572000;18:00:00;00:09:59.996000;04:44:39.828000
1;1;01;3.4.1;8;0.10990520675917022;01:09:59.999000;02:10:00.002000;00:09:59.996000;00:50:59.415000
1;1;01;7.3.2;8;0.10990520675917022;00:43:44.996000;01:09:59.999000;00:09:59.996000;00:21:20.344000
1;1;01;0.1.2;7;0.09616705591427394;02:05:42.858000;06:00:00;00:09:59.996000;01:52:58.115000
1;1;01;3.2.9;7;0.09616705591427394;01:04:17.147000;02:10:00.002000;00:09:59.996000;01:01:52.530000
1;1;01;3.9.1;7;0.09616705591427394;00:12:51.431000;00:29:59.997000;00:09:59.996000;00:07:33.557000
1;1;01;3.4.2;6;0.08242890506937767;01:01:40.002000;01:59:59.997000;00:09:59.996000;00:54:11.465000
1;1;01;3.7.1;6;0.08242890506937767;00:16:40.002000;00:29:59.997000;00:09:59.996000;00:08:09.897000
1;1;01;3.9.2;6;0.08242890506937767;01:34:59.998000;03:00:00;00:40:00.002000;01:03:28.935000
1;1;01;4.2.4;6;0.08242890506937767;00:49:59.998000;01:59:59.997000;00:09:59.996000;00:43:21.539000
1;1;01;7.3.9;6;0.08242890506937767;00:16:40.002000;00:29:59.997000;00:09:59.996000;00:08:09.897000
1;1;01;3.1.9;5;0.06869075422448138;00:33:59.999000;01:00:00.003000;00:09:59.996000;00:19:29.614000
1;1;01;3.2.3;5;0.06869075422448138;00:47:59.997000;02:30:00.003000;00:09:59.996000;00:58:28.842000
1;1;01;3.5.4;5;0.06869075422448138;00:27:59.996000;01:39:59.996000;00:09:59.996000;00:40:14.949000
1;1;01;6.1.5;5;0.06869075422448138;00:40:00.002000;01:00:00.003000;00:20:00.001000;00:18:42.500000
1;1;01;4.3.2;4;0.0549526033795851;00:17:30.002000;00:29:59.997000;00:09:59.996000;00:09:34.456000
1;1;01;7.1.1;4;0.0549526033795851;01:37:29.997000;03:49:59.998000;00:09:59.996000;01:33:35.162000
1;1;01;5.1.3;3;0.041214452534688834;00:53:19.997000;01:39:59.996000;00:20:00.001000;00:41:37.997000
1;1;01;6.3.1;3;0.041214452534688834;00:13:20.004000;00:20:00.001000;00:09:59.996000;00:05:46.412000
1;1;01;3.2.2;2;0.02747630168979255;00:45:00;01:00:00.003000;00:29:59.997000;00:21:12.793000
1;1;01;3.2.5;2;0.02747630168979255;00:09:59.996000;00:09:59.996000;00:09:59.996000;00:00:00
1;1;01;3.5.3;2;0.02747630168979255;00:45:00;01:00:00.003000;00:29:59.997000;00:21:12.793000
1;1;01;3.8.2;2;0.02747630168979255;00:49:59.998000;01:00:00.003000;00:40:00.002000;00:14:08.526000
1;1;01;7.3.1;2;0.02747630168979255;01:05:00.001000;01:59:59.997000;00:09:59.996000;01:17:46.905000
1;1;01;9.9.9;2;0.02747630168979255;00:35:00.004000;00:40:00.002000;00:29:59.997000;00:07:04.267000
1;1;03;5.1.2;132;34.285714285714285;00:47:16.365000;04:59:59.997000;00:09:59.996000;00:51:31.660000
1;1;03;0.2.1;85;22.07792207792207;00:50:07.057000;02:39:59.999000;00:09:59.996000;00:36:25.980000
1;1;03;0.3.1;29;7.532467532467531;00:18:57.931000;01:20:00.004000;00:09:59.996000;00:16:19.949000
1;1;03;8.2.1;25;6.493506493506492;01:01:36.002000;02:10:00.002000;00:09:59.996000;00:34:50.552000
1;1;03;0.1.1;17;4.415584415584415;03:02:21.178000;08:30:00.003000;00:20:00.001000;02:08:57.820000
1;1;03;3.1.1;14;3.636363636363636;00:19:17.147000;01:00:00.003000;00:09:59.996000;00:14:23.551000
1;1;03;4.2.9;14;3.636363636363636;00:49:59.998000;05:19:59.998000;00:09:59.996000;01:23:12.304000
1;1;03;5.3.1;8;2.0779220779220777;00:38:44.998000;01:00:00.003000;00:09:59.996000;00:21:00.101000
1;1;03;7.3.2;8;2.0779220779220777;01:37:29.997000;06:29:59.997000;00:09:59.996000;02:02:05.692000
1;1;03;3.1.2;5;1.2987012987012987;00:15:59.999000;00:29:59.997000;00:09:59.996000;00:08:56.656000
1;1;03;3.2.1;5;1.2987012987012987;00:20:00.001000;00:29:59.997000;00:09:59.996000;00:09:59.996000
1;1;03;0.3.9;4;1.0389610389610389;00:20:00.001000;00:29:59.997000;00:09:59.996000;00:08:09.897000
1;1;03;4.2.5;4;1.0389610389610389;00:49:59.998000;01:20:00.004000;00:09:59.996000;00:35:35.419000
1;1;03;7.3.5;4;1.0389610389610389;01:07:30;01:59:59.997000;00:29:59.997000;00:37:44.950000
1;1;03;2.2.1;3;0.7792207792207791;01:09:59.999000;01:59:59.997000;00:29:59.997000;00:45:49.542000
1;1;03;5.1.3;3;0.7792207792207791;01:43:20.004000;02:50:00.004000;00:29:59.997000;01:10:14.264000
1;1;03;3.2.4;2;0.5194805194805194;00:20:00.001000;00:29:59.997000;00:09:59.996000;00:14:08.526000
1;1;03;4.3.2;2;0.5194805194805194;00:09:59.996000;00:09:59.996000;00:09:59.996000;00:00:00
1;1;03;5.1.4;2;0.5194805194805194;00:29:59.997000;00:40:00.002000;00:20:00.001000;00:14:08.526000
1;1;03;5.1.5;2;0.5194805194805194;01:20:00.004000;01:20:00.004000;01:20:00.004000;00:00:00
1;1;03;7.1.9;2;0.5194805194805194;01:09:59.999000;01:50:00.001000;00:29:59.997000;00:56:34.112000
1;1;03;7.3.4;2;0.5194805194805194;01:14:59.997000;01:59:59.997000;00:29:59.997000;01:03:38.379000
1;1;03;8.3.1;2;0.5194805194805194;01:05:00.001000;01:30:00;00:40:00.002000;00:35:21.319000
1;1;04;0.3.1;8;42.10526315789473;00:23:45.004000;01:00:00.003000;00:09:59.996000;00:16:51.010000
1;1;04;0.1.1;5;26.315789473684212;03:02:00.001000;03:40:00.002000;01:30:00;00:54:02.220000
1;1;04;0.2.1;2;10.526315789473683;00:20:00.001000;00:20:00.001000;00:20:00.001000;00:00:00
1;1;05;1.1.1;635;76.59831121833533;02:44:06.611000;12:00:00;00:09:59.996000;02:06:36.711000
1;1;05;0.2.1;112;13.5102533172497;00:33:55.714000;01:59:59.997000;00:09:59.996000;00:25:41.549000
1;1;05;1.2.9;36;4.342581423401689;00:12:30.004000;00:29:59.997000;00:09:59.996000;00:06:02.137000
1;1;05;0.3.1;10;1.2062726176115803;00:13:00.002000;00:29:59.997000;00:09:59.996000;00:06:44.965000
1;1;05;0.1.1;8;0.9650180940892643;02:57:30.001000;04:59:59.997000;00:09:59.996000;01:33:09.527000
1;1;05;5.1.9;7;0.8443908323281062;00:12:51.431000;00:29:59.997000;00:09:59.996000;00:07:33.557000
1;1;05;5.3.1;7;0.8443908323281062;00:31:25.715000;00:49:59.998000;00:09:59.996000;00:16:45.696000
1;1;05;8.2.1;3;0.3618817852834741;01:06:40;01:50:00.001000;00:29:59.997000;00:40:24.868000
1;1;05;3.2.1;2;0.24125452352231608;00:09:59.996000;00:09:59.996000;00:09:59.996000;00:00:00
1;1;05;5.1.4;2;0.24125452352231608;00:15:00.003000;00:20:00.001000;00:09:59.996000;00:07:04.267000
1;1;06;2.1.1;16;84.21052631578947;01:43:07.501000;04:50:00.001000;00:09:59.996000;01:42:17.303000
1;1;06;2.1.9;2;10.526315789473683;00:15:00.003000;00:20:00.001000;00:09:59.996000;00:07:04.267000
1;1;07;2.1.2;7;87.5;02:14:17.146000;03:00:00;01:20:00.004000;00:36:26.974000
1;1;08;2.2.1;3;100.0;02:30:00.003000;03:29:59.997000;01:30:00;01:00:00.003000
1;1;09;0.2.1;336;59.259259259259245;00:52:05.002000;04:00:00.003000;00:09:59.996000;00:41:46.317000
1;1;09;5.1.9;191;33.68606701940035;01:08:41.470000;05:19:59.998000;00:09:59.996000;00:56:37.939000
1;1;09;7.3.2;11;1.9400352733686068;00:54:32.728000;02:30:00.003000;00:09:59.996000;00:43:54.042000
1;1;09;1.1.1;5;0.8818342151675485;00:15:59.999000;00:29:59.997000;00:09:59.996000;00:08:56.656000
