code;descr;other
0;PERSONAL CARE;
0.1;SLEEP ING;
0.1.1;Sleep ing;" Definition : Sleep at night or daytime. Time in bed before and after sleep, when no other 
activity is sp ecified. Unspecified sleep.  
 Note : Resting is included in code "" 531 Resting — Time out "". 
 Examples : Fell asleep on the couch / Parent woke me up, still in bed / Nap / Waiting to  
fall asleep / Changed bed during night (from one bed to another bed) / Waiting to get out 
of bed after waking up / Waking up, and still in bed.  "
0.1.2;Sick in bed;" Definition : Incapacitated in bed. For sick, elderly or disabled in bed, when no other 
activi ty is specified. When eating, talking to others, listening to the radio, etc. , these 
activities are to be coded as the main activity and ""Sick in bed"" as the secondary activit y. 
 Examples : Lying in bed because of sickness, old age / Being occasionally in a  hospital  
bed on the diary day.  "
0.2;EATING;
0.2.1;Eating;" Definition : Eating meals regardless of place; distinctions can be made by using a 
""location"" code. Eating snacks, ice cream, sweets, etc. Drinking coffee, tea, juice, beer, 
wine, spirits, etc.  
 Note : Setting the table is included in 311 Food preparation  and baking.  
 Examples : Eating dessert / Eating dinner / Eating lunch at home, at work, in restaurant, 
during a visit, etc. / Eating supper / Got drunk / Had a beer / Had a pizza / Had a 
sandwich / Had  food / Nibbling other food / Using narcotics.  "
0.3;OTHER PERSONAL CARE;
0.3.1;Washing and dressing;" Definition : Activities the respondent does for her/ himself. Toilet (WC) activities. Also 
activities (cutting hair, manicure, etc.) done free of charge for the respondent by a 
member of the family, a relative, a friend, etc. Getting out of bed and going to bed are 
included here.  
 Note : Time in bed before and after sleep when no other activity is specified is included in 
code "" 011 Sleep ing"". 
 Examples : Brushin g teeth / Changing clothes / Evening, morning chores / Make -up / 
Manicure, pedicure / Personal hygiene / Sauna / Shaving / Skin care / Taking a bath / 
Taking a shower / Washed face, hands and feet / Washing, drying and doing hair.  "
0.3.2;Personal care servi ces;" Definition : Individual services that do not belong to household production according to 
the third -party criterion, i.e. tasks that cannot be delegated to anybody else. Visiting a 
doctor, a dentist, a physiotherapist/ another medical specialist, etc. for own medical care/ 
for a medical consultation.  Visit to a saloon, beauty parlour, barber's, for own personal 
services such as haircut or hair styling, solarium, manicure, pedicure, etc. (as paid 
 
 
 
 
  
service). Also includes waiting.  
 Examples : Went to doctor  for check -up / Doctor visited me at home / Waiting in the 
doctor’s waiting -room / Was at the hospital (as a patient).  Facial care / Having one’s 
navel pierced / Visited the maternity ward / Was at the hairdresser.  "
0.3.9;Other or unspecified personal care;" Definition : Personal care for own health. Receiving health care from a household  
member or friend. Sexual activities. ""Private activities"" as suggested in the diary 
instructions. Unspecified personal care.  
 Note : Paid services for personal care (e.g. visits to a doctor) are included in code "" 032 
Personal care services "". 
 Note : Services given to somebody else, e.g. cutting hair or medical care, are included in 
code "" 381 Childcare: Physical care and supervision "" and code "" 39 HELP TO AN ADULT 
HOUSEHOLD MEMBER "". 
 Examples : Aerosol for asthma / Couple relation / Insulin injection / Intimacy / Monitoring 
blood pressure, sugar level, home diagnostic tests / Personal medical care at home / 
Preparing and taking medicines /  Feet massage (done by her/himself) / Put weekly 
consumption of medicine/ pills in a medicine cassette / Solarium session (at home) / 
Wound treatment . 
 "
